Booking_ID,Booking_Status,Booking_Value,Customer_ID,Driver_ID,Pickup_Location,Drop_Location,Ride_Distance(km),Ride_Time(min),Date,Time,Vehicle_Type,Vehicle_Image,Payment_Method,Customer_Rating,Driver_Rating,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Total_Bookings,Canceled_Bookings,Canceled_Percentage,V_TAT,C_TAT
RAP20250700022,Completed,125.93,CUST_8359,DR_906,Delhi,Bengaluru,6.04,22,2025-07-20,09:06:00,Bike,rapido_bike.png,UPI,3.9,3.2,0.0,0.0,0.0,None,906.0,109.0,12.03,9.0,19.0
RAP20250700023,Completed,124.46,CUST_5557,DR_358,Pune,Pune,16.99,45,2025-07-21,02:58:00,Bike,rapido_bike.png,UPI,4.6,4.9,0.0,0.0,0.0,None,970.0,108.0,11.13,12.0,35.0
RAP20250700024,Completed,179.18,CUST_1106,DR_889,Delhi,Chennai,12.93,56,2025-07-26,20:36:00,Bike,rapido_auto.png,Cash,3.4,4.9,0.0,0.0,0.0,None,1009.0,133.0,13.18,6.0,21.0
RAP20250700025,Completed,198.87,CUST_3615,DR_864,Bengaluru,Delhi,19.78,9,2025-07-25,06:23:00,Auto,rapido_bike.png,Wallet,4.6,4.4,0.0,0.0,0.0,None,964.0,134.0,13.9,13.0,12.0
RAP20250700026,Completed,134.62,CUST_7924,DR_738,Bengaluru,Pune,12.18,54,2025-08-07,06:36:00,Bike,rapido_auto.png,Wallet,3.1,3.8,0.0,0.0,0.0,None,929.0,118.0,12.7,9.0,36.0
RAP20250700027,Completed,77.08,CUST_6574,DR_741,Pune,Hyderabad,13.2,50,2025-06-07,03:40:00,Bike,rapido_bike.png,UPI,3.5,4.8,0.0,0.0,0.0,None,987.0,120.0,12.16,11.0,36.0
RAP20250700028,Completed,200.13,CUST_5552,DR_626,Hyderabad,Pune,11.26,57,2025-04-07,00:15:00,Bike,rapido_bike.png,UPI,3.4,3.3,0.0,0.0,0.0,None,952.0,117.0,12.29,8.0,32.0
RAP20250700029,Completed,100.48,CUST_3547,DR_183,Bengaluru,Hyderabad,24.63,55,2025-07-25,16:41:00,Bike,rapido_bike.png,UPI,4.4,4.7,0.0,0.0,0.0,None,964.0,134.0,13.9,27.0,26.0
RAP20250700030,Completed,68.52,CUST_4527,DR_242,Delhi,Bengaluru,15.45,52,2025-11-07,18:04:00,Bike,rapido_bike.png,Wallet,4.7,4.3,0.0,0.0,0.0,None,994.0,124.0,12.47,26.0,8.0
RAP20250700031,Completed,168.96,CUST_6514,DR_189,Chennai,Pune,22.92,7,2025-07-27,22:25:00,Bike,rapido_auto.png,UPI,4.2,4.6,0.0,0.0,0.0,None,961.0,112.0,11.65,11.0,38.0
RAP20250700032,Completed,49.9,CUST_2674,DR_975,Chennai,Chennai,21.99,19,2025-07-15,12:31:00,Bike,rapido_bike.png,Wallet,4.1,4.8,0.0,0.0,0.0,None,958.0,109.0,11.38,22.0,30.0
RAP20250700033,Completed,243.7,CUST_2519,DR_336,Hyderabad,Pune,19.19,16,2025-07-15,14:43:00,Auto,rapido_auto.png,Wallet,4.9,4.0,0.0,0.0,0.0,None,958.0,109.0,11.38,8.0,30.0
RAP20250700034,Incomplete,169.13,CUST_7224,DR_101,Pune,Delhi,13.36,38,2025-12-07,00:39:00,Bike,rapido_bike.png,Cash,4.6,4.0,0.0,0.0,1.0,Network issue,1006.0,117.0,11.63,20.0,20.0
RAP20250700035,Incomplete,246.9,CUST_2584,DR_148,Hyderabad,Chennai,14.15,7,2025-07-18,21:23:00,Auto,rapido_auto.png,Wallet,3.8,3.5,0.0,0.0,1.0,Network issue,977.0,117.0,11.98,15.0,27.0
RAP20250700036,Completed,104.56,CUST_6881,DR_788,Delhi,Delhi,23.46,12,2025-07-19,04:04:00,Bike,rapido_auto.png,UPI,4.3,3.2,0.0,0.0,0.0,None,980.0,121.0,12.35,11.0,9.0
RAP20250700037,Completed,243.67,CUST_6635,DR_857,Hyderabad,Pune,6.92,47,2025-10-07,16:58:00,Bike,rapido_bike.png,Card,4.4,3.6,0.0,0.0,0.0,None,953.0,113.0,11.86,11.0,37.0
RAP20250700038,Completed,62.02,CUST_5333,DR_669,Chennai,Chennai,19.92,6,2025-07-21,10:43:00,Bike,rapido_auto.png,Cash,3.0,4.8,0.0,0.0,0.0,None,970.0,108.0,11.13,28.0,15.0
RAP20250700039,Completed,38.95,CUST_1711,DR_624,Bengaluru,Chennai,8.49,23,2025-07-27,16:54:00,Bike,rapido_bike.png,UPI,4.0,4.6,0.0,0.0,0.0,None,961.0,112.0,11.65,26.0,8.0
RAP20250700040,Completed,37.26,CUST_8527,DR_243,Bengaluru,Delhi,2.87,41,2025-07-18,12:33:00,Auto,rapido_auto.png,UPI,4.1,4.9,0.0,0.0,0.0,None,977.0,117.0,11.98,10.0,12.0
RAP20250700041,Completed,132.27,CUST_9785,DR_770,Pune,Bengaluru,10.78,36,2025-11-07,22:02:00,Auto,rapido_bike.png,UPI,4.3,3.4,0.0,0.0,0.0,None,994.0,124.0,12.47,8.0,31.0
RAP20250700042,Completed,48.26,CUST_3045,DR_882,Delhi,Delhi,13.78,27,2025-07-15,08:44:00,Bike,rapido_bike.png,UPI,3.7,3.0,0.0,0.0,0.0,None,958.0,109.0,11.38,11.0,35.0
RAP20250700043,Completed,142.68,CUST_7201,DR_297,Pune,Chennai,4.6,21,2025-12-07,06:38:00,Auto,rapido_bike.png,Wallet,4.4,3.5,0.0,0.0,0.0,None,1006.0,117.0,11.63,28.0,10.0
RAP20250700044,Cancelled,102.05,CUST_2291,DR_643,Hyderabad,Pune,19.06,40,2025-07-22,08:09:00,Auto,rapido_bike.png,Cash,4.4,3.3,0.0,1.0,0.0,None,963.0,115.0,11.94,26.0,11.0
RAP20250700045,Completed,103.84,CUST_5803,DR_974,Hyderabad,Pune,18.94,19,2025-01-07,18:00:00,Bike,rapido_bike.png,UPI,3.1,3.0,0.0,0.0,0.0,None,979.0,112.0,11.44,23.0,36.0
RAP20250700046,Completed,169.83,CUST_6925,DR_410,Hyderabad,Bengaluru,18.67,49,2025-07-20,01:50:00,Auto,rapido_auto.png,Cash,3.2,4.5,0.0,0.0,0.0,None,906.0,109.0,12.03,17.0,21.0
RAP20250700047,Completed,65.88,CUST_4150,DR_781,Delhi,Pune,9.04,30,2025-07-18,16:43:00,Auto,rapido_auto.png,UPI,4.5,4.2,0.0,0.0,0.0,None,977.0,117.0,11.98,11.0,28.0
RAP20250700048,Completed,198.64,CUST_2139,DR_484,Bengaluru,Chennai,13.2,9,2025-07-22,21:33:00,Bike,rapido_auto.png,Wallet,3.1,4.0,0.0,0.0,0.0,None,963.0,115.0,11.94,13.0,26.0
RAP20250700049,Completed,158.05,CUST_1750,DR_952,Chennai,Pune,5.59,32,2025-07-16,18:09:00,Bike,rapido_bike.png,UPI,3.4,4.5,0.0,0.0,0.0,None,935.0,112.0,11.98,24.0,17.0
RAP20250700050,Completed,231.29,CUST_4733,DR_686,Chennai,Chennai,11.79,46,2025-07-27,10:49:00,Auto,rapido_bike.png,UPI,3.8,4.6,0.0,0.0,0.0,None,961.0,112.0,11.65,8.0,11.0
RAP20250700051,Incomplete,110.26,CUST_5741,DR_739,Hyderabad,Pune,23.95,29,2025-07-21,17:53:00,Bike,rapido_auto.png,Wallet,4.1,3.9,0.0,0.0,1.0,Customer cancelled early,970.0,108.0,11.13,26.0,11.0
RAP20250700052,Completed,246.2,CUST_2307,DR_152,Hyderabad,Bengaluru,8.61,47,2025-07-21,20:20:00,Bike,rapido_auto.png,UPI,4.5,3.8,0.0,0.0,0.0,None,970.0,108.0,11.13,17.0,6.0
RAP20250700053,Cancelled,156.68,CUST_4814,DR_882,Hyderabad,Pune,2.65,47,2025-07-17,15:32:00,Bike,rapido_bike.png,Cash,3.4,4.3,1.0,0.0,0.0,None,994.0,133.0,13.38,25.0,32.0
RAP20250700054,Cancelled,244.15,CUST_2654,DR_796,Delhi,Hyderabad,8.84,18,2025-07-15,06:38:00,Auto,rapido_bike.png,UPI,4.9,4.8,1.0,0.0,0.0,None,958.0,109.0,11.38,7.0,29.0
RAP20250700055,Completed,35.95,CUST_7227,DR_803,Chennai,Hyderabad,21.13,19,2025-07-28,22:52:00,Bike,rapido_auto.png,Cash,4.6,4.8,0.0,0.0,0.0,None,999.0,115.0,11.51,25.0,26.0
RAP20250700056,Cancelled,190.15,CUST_5554,DR_825,Pune,Chennai,22.81,55,2025-07-26,17:02:00,Auto,rapido_auto.png,UPI,3.9,4.3,0.0,1.0,0.0,None,1009.0,133.0,13.18,7.0,21.0
RAP20250700057,Completed,209.66,CUST_8428,DR_939,Bengaluru,Chennai,1.72,20,2025-07-22,06:30:00,Auto,rapido_bike.png,UPI,4.1,4.4,0.0,0.0,0.0,None,963.0,115.0,11.94,19.0,31.0
RAP20250700058,Completed,41.7,CUST_6977,DR_674,Pune,Pune,12.79,26,2025-07-24,00:13:00,Auto,rapido_auto.png,UPI,4.6,4.0,0.0,0.0,0.0,None,922.0,108.0,11.71,18.0,9.0
RAP20250700059,Completed,157.37,CUST_3664,DR_973,Bengaluru,Hyderabad,23.78,45,2025-07-21,14:30:00,Auto,rapido_auto.png,Wallet,3.6,4.6,0.0,0.0,0.0,None,970.0,108.0,11.13,29.0,28.0
RAP20250700060,Completed,206.43,CUST_7065,DR_514,Delhi,Pune,4.45,23,2025-12-07,06:48:00,Bike,rapido_auto.png,Cash,4.9,4.5,0.0,0.0,0.0,None,1006.0,117.0,11.63,21.0,6.0
RAP20250700061,Completed,153.43,CUST_6820,DR_589,Bengaluru,Chennai,2.97,18,2025-04-07,02:09:00,Bike,rapido_bike.png,Cash,3.9,4.6,0.0,0.0,0.0,None,952.0,117.0,12.29,27.0,23.0
RAP20250700062,Completed,44.04,CUST_4432,DR_230,Delhi,Delhi,19.31,52,2025-06-07,01:23:00,Bike,rapido_auto.png,UPI,4.1,3.7,0.0,0.0,0.0,None,987.0,120.0,12.16,8.0,37.0
RAP20250700063,Cancelled,182.56,CUST_5374,DR_301,Chennai,Hyderabad,16.54,39,2025-07-13,17:50:00,Bike,rapido_auto.png,Cash,4.4,3.2,0.0,1.0,0.0,None,972.0,114.0,11.73,16.0,14.0
RAP20250700064,Completed,43.33,CUST_2169,DR_790,Bengaluru,Hyderabad,18.45,31,2025-07-07,17:26:00,Auto,rapido_auto.png,UPI,3.3,5.0,0.0,0.0,0.0,None,969.0,111.0,11.46,22.0,33.0
RAP20250700065,Completed,209.84,CUST_3803,DR_323,Hyderabad,Delhi,7.89,59,2025-07-21,18:41:00,Auto,rapido_auto.png,UPI,4.1,4.3,0.0,0.0,0.0,None,970.0,108.0,11.13,19.0,13.0
RAP20250700066,Completed,39.47,CUST_9751,DR_175,Hyderabad,Delhi,10.98,56,2025-07-21,22:19:00,Bike,rapido_bike.png,Cash,4.1,4.5,0.0,0.0,0.0,None,970.0,108.0,11.13,20.0,21.0
RAP20250700067,Completed,60.23,CUST_5010,DR_162,Delhi,Hyderabad,14.98,18,2025-07-31,16:22:00,Bike,rapido_auto.png,UPI,3.3,3.9,0.0,0.0,0.0,None,966.0,106.0,10.97,17.0,35.0
RAP20250700068,Completed,90.52,CUST_3677,DR_370,Chennai,Hyderabad,19.39,34,2025-07-20,06:44:00,Auto,rapido_bike.png,UPI,3.2,3.4,0.0,0.0,0.0,None,906.0,109.0,12.03,6.0,25.0
RAP20250700069,Completed,169.34,CUST_8573,DR_781,Delhi,Hyderabad,8.99,6,2025-07-28,01:29:00,Bike,rapido_auto.png,UPI,3.6,4.6,0.0,0.0,0.0,None,999.0,115.0,11.51,14.0,12.0
RAP20250700070,Incomplete,244.8,CUST_7216,DR_368,Pune,Chennai,11.03,52,2025-09-07,08:33:00,Auto,rapido_bike.png,Cash,3.3,4.3,0.0,0.0,1.0,Weather issue,986.0,119.0,12.07,22.0,18.0
RAP20250700071,Completed,55.92,CUST_5422,DR_641,Pune,Hyderabad,14.11,59,2025-07-27,14:35:00,Bike,rapido_auto.png,UPI,4.7,4.2,0.0,0.0,0.0,None,961.0,112.0,11.65,7.0,37.0
RAP20250700072,Completed,61.4,CUST_4598,DR_227,Pune,Bengaluru,1.65,58,2025-08-07,02:51:00,Bike,rapido_bike.png,UPI,3.0,3.7,0.0,0.0,0.0,None,929.0,118.0,12.7,23.0,5.0
RAP20250700073,Completed,111.15,CUST_6313,DR_605,Hyderabad,Hyderabad,21.4,53,2025-07-30,06:16:00,Bike,rapido_auto.png,Cash,3.7,4.3,0.0,0.0,0.0,None,950.0,103.0,10.84,14.0,36.0
RAP20250700074,Completed,213.97,CUST_1916,DR_792,Pune,Delhi,16.16,22,2025-07-24,00:46:00,Bike,rapido_auto.png,UPI,4.7,3.9,0.0,0.0,0.0,None,922.0,108.0,11.71,21.0,5.0
RAP20250700075,Completed,132.79,CUST_4752,DR_577,Bengaluru,Bengaluru,3.44,18,2025-07-14,18:22:00,Bike,rapido_auto.png,UPI,4.5,3.7,0.0,0.0,0.0,None,957.0,113.0,11.81,22.0,5.0
RAP20250700076,Completed,100.75,CUST_1525,DR_743,Pune,Delhi,9.81,43,2025-07-19,22:41:00,Bike,rapido_auto.png,UPI,4.4,4.3,0.0,0.0,0.0,None,980.0,121.0,12.35,21.0,16.0
RAP20250700077,Completed,153.46,CUST_6168,DR_350,Hyderabad,Delhi,5.71,13,2025-04-07,03:59:00,Bike,rapido_bike.png,UPI,3.6,4.4,0.0,0.0,0.0,None,952.0,117.0,12.29,14.0,15.0
RAP20250700078,Completed,87.32,CUST_7572,DR_743,Bengaluru,Pune,2.43,26,2025-10-07,08:00:00,Bike,rapido_auto.png,Cash,4.2,3.1,0.0,0.0,0.0,None,953.0,113.0,11.86,6.0,14.0
RAP20250700079,Completed,118.26,CUST_5386,DR_522,Chennai,Hyderabad,8.81,16,2025-11-07,10:03:00,Bike,rapido_bike.png,Cash,3.5,4.0,0.0,0.0,0.0,None,994.0,124.0,12.47,19.0,39.0
RAP20250700080,Completed,103.17,CUST_2084,DR_976,Delhi,Hyderabad,22.02,15,2025-02-07,23:04:00,Bike,rapido_auto.png,Wallet,4.9,4.5,0.0,0.0,0.0,None,998.0,122.0,12.22,14.0,26.0
RAP20250700081,Cancelled,206.91,CUST_4456,DR_471,Delhi,Hyderabad,3.08,12,2025-07-15,17:06:00,Bike,rapido_bike.png,Wallet,3.8,3.5,1.0,0.0,0.0,None,958.0,109.0,11.38,9.0,6.0
RAP20250700082,Completed,233.34,CUST_6155,DR_424,Bengaluru,Delhi,22.12,36,2025-07-20,07:45:00,Bike,rapido_auto.png,Card,4.2,4.2,0.0,0.0,0.0,None,906.0,109.0,12.03,26.0,18.0
RAP20250700083,Completed,197.11,CUST_4483,DR_842,Bengaluru,Bengaluru,6.63,41,2025-07-15,22:24:00,Bike,rapido_bike.png,Cash,4.5,3.2,0.0,0.0,0.0,None,958.0,109.0,11.38,7.0,20.0
RAP20250700084,Completed,126.6,CUST_9179,DR_529,Delhi,Hyderabad,23.95,27,2025-07-19,02:31:00,Bike,rapido_bike.png,Cash,3.1,4.1,0.0,0.0,0.0,None,980.0,121.0,12.35,20.0,19.0
RAP20250700085,Completed,140.95,CUST_7482,DR_171,Delhi,Hyderabad,6.66,42,2025-06-07,01:00:00,Auto,rapido_auto.png,UPI,4.5,3.9,0.0,0.0,0.0,None,987.0,120.0,12.16,26.0,6.0
RAP20250700086,Completed,57.52,CUST_8517,DR_720,Bengaluru,Bengaluru,21.62,54,2025-06-07,01:17:00,Bike,rapido_bike.png,UPI,3.6,3.4,0.0,0.0,0.0,None,987.0,120.0,12.16,21.0,16.0
RAP20250700087,Completed,194.31,CUST_3340,DR_241,Delhi,Bengaluru,23.06,46,2025-07-14,16:52:00,Bike,rapido_bike.png,Cash,3.2,4.4,0.0,0.0,0.0,None,957.0,113.0,11.81,8.0,32.0
RAP20250700088,Completed,161.22,CUST_5339,DR_229,Chennai,Hyderabad,23.17,26,2025-07-27,11:19:00,Bike,rapido_auto.png,UPI,3.5,4.1,0.0,0.0,0.0,None,961.0,112.0,11.65,27.0,39.0
RAP20250700089,Cancelled,228.54,CUST_3287,DR_173,Pune,Pune,4.41,30,2025-07-19,23:42:00,Bike,rapido_bike.png,Wallet,3.8,4.1,1.0,0.0,0.0,None,980.0,121.0,12.35,28.0,27.0
RAP20250700090,Completed,74.13,CUST_5040,DR_890,Pune,Hyderabad,17.27,11,2025-04-07,03:46:00,Bike,rapido_bike.png,Cash,3.5,3.0,0.0,0.0,0.0,None,952.0,117.0,12.29,13.0,33.0
RAP20250700091,Completed,197.14,CUST_9830,DR_643,Chennai,Hyderabad,20.85,52,2025-07-25,23:08:00,Bike,rapido_bike.png,Wallet,4.6,4.3,0.0,0.0,0.0,None,964.0,134.0,13.9,7.0,15.0
RAP20250700092,Completed,180.63,CUST_5304,DR_660,Pune,Delhi,18.79,33,2025-07-20,21:12:00,Bike,rapido_bike.png,Wallet,4.3,3.0,0.0,0.0,0.0,None,906.0,109.0,12.03,7.0,18.0
RAP20250700093,Completed,88.49,CUST_8019,DR_239,Pune,Chennai,12.63,40,2025-12-07,21:16:00,Bike,rapido_auto.png,Wallet,3.7,3.0,0.0,0.0,0.0,None,1006.0,117.0,11.63,19.0,21.0
RAP20250700094,Completed,176.82,CUST_7543,DR_999,Pune,Hyderabad,23.62,36,2025-07-28,16:59:00,Auto,rapido_bike.png,UPI,3.7,3.2,0.0,0.0,0.0,None,999.0,115.0,11.51,8.0,5.0
RAP20250700095,Completed,233.36,CUST_6930,DR_243,Hyderabad,Delhi,5.73,23,2025-04-07,03:00:00,Bike,rapido_bike.png,Wallet,3.5,3.6,0.0,0.0,0.0,None,952.0,117.0,12.29,16.0,7.0
RAP20250700096,Completed,232.06,CUST_4593,DR_121,Chennai,Chennai,22.12,16,2025-02-07,23:37:00,Bike,rapido_bike.png,UPI,3.4,4.4,0.0,0.0,0.0,None,998.0,122.0,12.22,24.0,22.0
RAP20250700097,Completed,188.32,CUST_3266,DR_520,Delhi,Delhi,7.17,45,2025-07-31,09:43:00,Bike,rapido_bike.png,UPI,4.0,3.3,0.0,0.0,0.0,None,966.0,106.0,10.97,11.0,23.0
RAP20250700098,Completed,40.58,CUST_9348,DR_318,Bengaluru,Delhi,12.09,42,2025-01-07,10:10:00,Bike,rapido_auto.png,UPI,3.9,4.9,0.0,0.0,0.0,None,979.0,112.0,11.44,14.0,12.0
RAP20250700099,Completed,221.9,CUST_9085,DR_868,Chennai,Pune,12.37,30,2025-07-07,10:20:00,Bike,rapido_auto.png,Wallet,3.8,4.3,0.0,0.0,0.0,None,969.0,111.0,11.46,20.0,16.0
RAP20250700100,Completed,174.71,CUST_2489,DR_183,Chennai,Bengaluru,8.3,48,2025-07-29,07:44:00,Auto,rapido_bike.png,UPI,3.7,4.6,0.0,0.0,0.0,None,969.0,105.0,10.84,25.0,36.0
RAP20250700101,Completed,98.3,CUST_1771,DR_638,Hyderabad,Bengaluru,8.18,54,2025-07-28,18:24:00,Auto,rapido_auto.png,Wallet,3.3,3.5,0.0,0.0,0.0,None,999.0,115.0,11.51,20.0,31.0
RAP20250700102,Completed,71.2,CUST_2796,DR_844,Hyderabad,Delhi,10.28,35,2025-06-07,04:20:00,Bike,rapido_bike.png,UPI,3.7,4.2,0.0,0.0,0.0,None,987.0,120.0,12.16,25.0,9.0
RAP20250700103,Completed,55.56,CUST_3504,DR_507,Pune,Bengaluru,1.8,45,2025-07-29,11:27:00,Auto,rapido_auto.png,UPI,3.5,4.6,0.0,0.0,0.0,None,969.0,105.0,10.84,23.0,27.0
RAP20250700104,Completed,41.05,CUST_3621,DR_941,Hyderabad,Hyderabad,7.19,17,2025-02-07,02:17:00,Bike,rapido_bike.png,UPI,4.8,4.0,0.0,0.0,0.0,None,998.0,122.0,12.22,27.0,6.0
RAP20250700105,Cancelled,195.9,CUST_7916,DR_394,Delhi,Pune,23.85,7,2025-08-07,08:06:00,Bike,rapido_bike.png,UPI,5.0,4.7,0.0,1.0,0.0,None,929.0,118.0,12.7,5.0,13.0
RAP20250700106,Completed,81.89,CUST_2040,DR_224,Delhi,Pune,18.4,50,2025-07-18,04:42:00,Auto,rapido_bike.png,UPI,4.7,4.0,0.0,0.0,0.0,None,977.0,117.0,11.98,19.0,26.0
RAP20250700107,Completed,35.34,CUST_7304,DR_592,Pune,Bengaluru,11.95,33,2025-07-19,22:48:00,Bike,rapido_auto.png,Wallet,3.1,3.9,0.0,0.0,0.0,None,980.0,121.0,12.35,8.0,19.0
RAP20250700108,Completed,117.4,CUST_7252,DR_493,Hyderabad,Bengaluru,1.52,36,2025-03-07,22:49:00,Bike,rapido_bike.png,Wallet,3.0,3.4,0.0,0.0,0.0,None,940.0,109.0,11.6,25.0,35.0
RAP20250700109,Completed,136.17,CUST_8668,DR_164,Pune,Pune,18.14,32,2025-07-17,23:36:00,Bike,rapido_bike.png,UPI,3.8,4.8,0.0,0.0,0.0,None,994.0,133.0,13.38,7.0,12.0
RAP20250700110,Completed,67.23,CUST_9669,DR_753,Bengaluru,Delhi,13.08,16,2025-07-24,17:28:00,Auto,rapido_auto.png,Cash,3.4,4.3,0.0,0.0,0.0,None,922.0,108.0,11.71,13.0,26.0
RAP20250700111,Completed,39.69,CUST_5119,DR_744,Hyderabad,Delhi,16.92,24,2025-07-15,01:04:00,Bike,rapido_bike.png,Wallet,5.0,4.1,0.0,0.0,0.0,None,958.0,109.0,11.38,28.0,36.0
RAP20250700112,Completed,71.61,CUST_1188,DR_742,Hyderabad,Delhi,10.77,9,2025-11-07,01:39:00,Auto,rapido_auto.png,UPI,3.8,3.9,0.0,0.0,0.0,None,994.0,124.0,12.47,25.0,12.0
RAP20250700113,Cancelled,179.4,CUST_2876,DR_835,Hyderabad,Hyderabad,1.52,34,2025-09-07,06:42:00,Auto,rapido_bike.png,Card,3.1,4.0,0.0,1.0,0.0,None,986.0,119.0,12.07,27.0,9.0
RAP20250700114,Completed,48.09,CUST_9797,DR_328,Hyderabad,Delhi,15.22,53,2025-07-29,04:07:00,Bike,rapido_bike.png,UPI,4.9,4.7,0.0,0.0,0.0,None,969.0,105.0,10.84,25.0,18.0
RAP20250700115,Completed,152.11,CUST_5371,DR_948,Delhi,Delhi,20.03,56,2025-07-25,10:09:00,Auto,rapido_auto.png,Wallet,4.9,3.2,0.0,0.0,0.0,None,964.0,134.0,13.9,12.0,11.0
